ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p> <font face=""Cambria Math, serif"">Which statement is correct?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8424c2dc9a332dc0.gif""/> is stronger acid than  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_afafed92e899f7da.gif""/>    ",   Maleic acid is stronger than fumaric acid         ,   Both (a) and (b)   ,   None of the above    ,,,2 ," <p><font face=""Cambria Math, serif"">Maleic acid contains intramolecular hydrogen bonding while Fumaric acid contains iuntermolecular bonding. Thus, maleic acid forms more stable maleate ion after the removal of</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2b63d757da654980.gif""/> <font face=""Cambria Math, serif"">. Hence maleric acid is stronger acid than Fumaric acid</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which gives lactic acid on hydrolysis after reacting with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f3387b2da8823700.gif""/> <font face=""Cambria Math, serif"">?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9e368fd1de222c2.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_96ca8eaafc849144.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_16096e66715a179e.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8dfa18aea5fe73aa.gif""/>     ",,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">The IUPAC name of the </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_deaaef1595d1dd26.gif""/> <font face=""Cambria Math, serif""> is:</font></p>",   4-methyl isopropyl ketone         ,   3-methyl-2-butanone           ,   Isopropylmethyl ketone           ,   2-methyl-3-butanone      ,,,2,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following will give readily a hydrocarbon?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c44496affec7edc1.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_721ea59b90f23d37.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f05188944fedde55.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c0383c882f12cf85.gif""/>     ",,,1 ," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> <font face=""Cambria Math, serif"">COOK</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2293df508d422174.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_237a2d360b1ab76e.gif""/> </p> <p><font face=""Cambria Math, serif"">reactions are not similar?</font></p>",   Hydrogenation     ,   Elimination     ,   Oxidation     ,   None of these      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Hydrogenation of benzoyl chloride in presence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_222c654b5d8b0c23.gif""/> <font face=""Cambria Math, serif""> on </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5af60746a56f3396.gif""/> <font face=""Cambria Math, serif""> gives</font></p>",   Benzyl alcohol   ,   Benzaldehyde   ,   Benzonic acid   ,   Phenol    ,,,2 ," <p> <img align=""bottom"" height=""85"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cb5e4eecef9d6d5e.gif"" width=""239""/> </p> <p><font face=""Cambria Math, serif"">This reaction is called Rosenmund’s reaction.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">On treatment of citric acid with fuming</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bbf6f251fa9f45db.gif""/> <font face=""Cambria Math, serif"">, which of the following is produced?</font></p>",   Acetone         ,   Dihydroxy acetone           ,   Citraconic anhydride         ,   Acetone dicarboxylic acid    ,,,4,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Base catalysed aldol condensation occurs with:</font></p>",   Propionaldehyde           ,   Benzaldehyde           ,"   2,2-dimethyl propionaldehyde           ",   None of the above    ,,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">When HCHO is treated with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_16096e66715a179e.gif""/> <font face=""Cambria Math, serif""> in presence of NaOH, the products are:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_aaad45a64c14ce88.gif""/> and HCOONa   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_af5a84f69d735006.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ba8defc549bedda8.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bac5aa07c2840c44.gif""/>     ",,,4 ," <p> <font face=""Cambria Math, serif"">The reaction is called crossed Cannizzaro’s reaction;</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f497a7be8cc74590.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">When formaldehyde is heated with ammonia the compound formed is:</font></p>",   Methyl amine           ,   Amino formaldehyde         ,   Hexamethylene tetramine           ,   Formalin    ,,,3 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_236a35d15cd54ee0.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e44365dcdc1afcbb.gif""/> <font face=""Cambria Math, serif"">.</font></p> <p><font face=""Cambria Math, serif"">The structure of compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f75be7208c5113fd.gif""/> <font face=""Cambria Math, serif""> is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6b84f7966e325478.gif""/>   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a8e9c8930949d.gif""/>  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d0a1b4c3eb11df63.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_65c01c81ed90505d.gif""/>   |    <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c43908ba1b2b6209.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4735ad1a3f25f142.gif""/>   |  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d0a1b4c3eb11df63.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f8c8dbf304bb8aca.gif""/>   |  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d0a1b4c3eb11df63.gif""/>     ",,,1,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1a476a999439432d.gif""/> <font face=""Cambria Math, serif"">The compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3ffcacb7a7be8577.gif""/> <font face=""Cambria Math, serif""> is:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c800dd59da5650f5.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_31eb4d286fae031f.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_daf14c12e9545dfb.gif""/> = CH.COOH   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_980be06f54790457.gif""/>     ",,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The reaction of acetamide with water is an example of:</font></p>",   Alcoholysis     ,   Hydrolysis     ,   Ammonolysis   ,   Saponification      ,,,2 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_40b58a2a68393900.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The most acidic among the following is:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c800dd59da5650f5.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4dc46333ff6a6a05.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b609a6c04b44aebd.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d41dc5939f579ee7.gif""/>     ",,,3 ," <p><font face=""Cambria Math, serif"">Acidic order is: </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4084d129825b044a.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b46def95a3b7bbb5.gif""/> <font face=""Cambria Math, serif"">is</font></p>",   Acetone   ,   Acetaldehyde   ,   Propionaldehyde   ,   Formaldehyde    ,,,1," <p> <font face=""Cambria Math, serif"">Acetone (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8dfa18aea5fe73aa.gif""/> <font face=""Cambria Math, serif"">) undergoes condensation reaction in presence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_496bfdcf64202938.gif""/> <font face=""Cambria Math, serif""> to produce mesityl oxide.</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b2c181932f1339ac.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>4-methyl pent-3en-2one</font></font></p> <p> <font face=""Cambria Math, serif""><font>or mesityl oxide</font></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">When citric acid is heated at 150</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f32c00aa5c694849.gif""/> <font face=""Cambria Math, serif"">, the main product formed is:</font></p>",   Acetone     ,   Aconitic acid     ,   Ethanal     ,   None of these      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">The general formula </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3ebc80e0a3862426.gif""/> <font face=""Cambria Math, serif"">O represents:</font></p>",   A ketone   ,   An ether   ,   An acid anhydride   ,   An ester      ,,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Formaldehyde on condensation in presence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4d1486e7d11bed5e.gif""/> <font face=""Cambria Math, serif""> gives:</font></p>",   Formose     ,   Fructose     ,   Maltose     ,   Xylose      ,,,1 ," <p align=""justify""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_70786859ac47c50d.gif""/> <font face=""Cambria Math, serif"">; </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6394e825d61f35c1.gif""/> <font face=""Cambria Math, serif""> or α-acrose; an isomer of glucose and fructose. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The correct formula of the product of reaction between </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3ef4a8df1851a445.gif""/> <font face=""Cambria Math, serif""> and propanoic anhydride in presence of sodium propionate is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_49957f83779ed8d9.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3a943b7165aa8a55.gif""/>          ","   <img align=""bottom"" height=""46"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2439c5875435b0fc.gif"" width=""142""/>    ","   <img align=""bottom"" height=""47"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_878a7f69b6f573be.gif"" width=""167""/>     ",,,3," <p> <font face=""Cambria Math, serif"">Benzaldehyde condenses with propanoic anhydride to yield </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_86b3bf3d192eb545.gif""/> <font face=""Cambria Math, serif"">- unsaturated acids in the presence of catalytic amount of sodium propionate</font></p> <p><img align=""bottom"" height=""284"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_302c4b869d974de1.gif"" width=""285""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following compounds neither forms semicarbazone nor oxime?</font></p>","   <img align=""bottom"" height=""42"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_37ec2f6de8bc9324.gif"" width=""63""/>    ","   <img align=""bottom"" height=""41"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_555bb1c998a98ad3.gif"" width=""135""/>    ","   <img align=""bottom"" height=""40"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a9eebbbea61f1275.gif"" width=""111""/>    ","   <img align=""bottom"" height=""43"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7608d4cec339ac5f.gif"" width=""107""/>     ",,,2 ," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_94426df07d4a404e.gif""/> <font face=""Cambria Math, serif"">neither forms semicarbazone nor oxime because it is a substituted amide. While other compounds have carbonyl group hence, they form semicarbazone or oxime</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">When a mixture of calcium benzoate and calcium acetate is dry distilled, the resulting compound is</font></p>",   Acetophenone   ,   Benzaldehyde   ,   Benzophenone   ,   Acetaldehyde    ,,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">An organic compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa257a17bef1b597.gif""/> <font face=""Cambria Math, serif""> with molecular formula </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_eaadf979a0a905a8.gif""/> <font face=""Cambria Math, serif""> forms an orange-red precipitate with 2,4-DNP reagent and gives yellow precipitate on heating with iodine and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ed352766b77e2fc3.gif""/> <font face=""Cambria Math, serif"">. It does not reduce Tollen reagent or Fehling solution nor it decolourises bromine water as Baeyer’s reagent. On drastic oxidation with chromic acid, it gives a carboxylic acid having molecular formula </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c1c3bcff0bb93f17.gif""/> <font face=""Cambria Math, serif"">. Identify the compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa257a17bef1b597.gif""/> <font face=""Cambria Math, serif"">`</font></p>","   <img align=""bottom"" height=""79"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_17f0f0b1d09e7ba1.gif"" width=""147""/>    ","   <img align=""bottom"" height=""82"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1b703b85b90b8a63.gif"" width=""149""/>          ","   <img align=""bottom"" height=""52"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b6191f0bfe958356.gif"" width=""169""/>    ","   <img align=""bottom"" height=""75"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_df3b0a0717f5a0be.gif"" width=""157""/>     ",,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">Ethanoic acid or </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b609a6c04b44aebd.gif""/> <font face=""Cambria Math, serif""> is a weak acid because:</font></p>",   It is highly ionized           ,   It has no replaceable hydrogen         ,   It is slightly ionized           ,   It is insoluble in water      ,,,3," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_680a9541d25deae6.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Paraldehyde is:</font></p>",   A trimer of formaldehyde           ,   A trimer of acetaldehyde           ,   A hexamer of formaldehyde           ,   A hexamer of acetaldehyde      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Calcium formate on distillation gives</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b09abe52baa15cf8.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_24f17916335d6326.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_96ca8eaafc849144.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9e368fd1de222c2.gif""/>     ",,,4 ," <p> <font face=""Cambria Math, serif"">Calcium formate on distillation gives </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9e368fd1de222c2.gif""/> <font face=""Cambria Math, serif"">.</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d1d441ba29c41357.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Alkaline hydrolysis of 1,1-dichloroalkane yields:</font></p>",   Alkanal     ,   Alkanol     ,   Alkanone     ,   Alkyne      ,,,1 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7c535890603bb108.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Sodium ethoxide has reacted with ethanoyl chloride. The compound that is produced in the above reaction is</font></p>",   Diethyl ether   ,   2-butanone   ,   Ethyl chloride   ,   Ethyl ethanoate    ,,,4," <p> <img align=""bottom"" height=""143"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a5af017317281b28.gif"" width=""289""/> </p> <p><font face=""Cambria Math, serif"">This is by </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_15cea8c59a00f026.gif""/> <font face=""Cambria Math, serif""> reaction. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b6c874a53c95112b.gif""/> <font face=""Cambria Math, serif""> is a better leaving group than </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4fc40d4ddb4b1621.gif""/> <font face=""Cambria Math, serif""> and the ethyl ethanoate is formed.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
